date,rate
2015-01-31,0.009874
2015-02-28,0.018595
2015-03-31,0.015453
2015-04-30,0.001095
2015-05-31,0.011886
2015-06-30,-0.006991
2015-07-31,0.007143
2015-08-31,0.006289
2015-09-30,0.024746
2015-10-31,0.021706
2015-11-30,-0.002981
2015-12-31,-0.000887
2016-01-31,0.001113
2016-02-29,0.009652
2016-03-31,0.014371
2016-04-30,0.012653
2016-05-31,0.030478
2016-06-30,0.007767
2016-07-31,0.007413
2016-08-31,0.019264
2016-09-30,0.012492
2016-10-31,0.017005
2016-11-30,0.048496
2016-12-31,0.031259
2017-01-31,0.040653
2017-02-28,0.026283
2017-03-31,0.01954
2017-04-30,0.016919
2017-05-31,0.01673
2017-06-30,0.008181
2017-07-31,0.032171
2017-08-31,0.011317
2017-09-30,0.01001
2017-10-31,0.011043
2017-11-30,0.009682
2017-12-31,-0.002115
2018-01-31,-0.000603
2018-02-28,0.00286
2018-03-31,0.009934
2018-04-30,0.015177
2018-05-31,0.001655
2018-06-30,0.034751
2018-07-31,0.024275
2018-08-31,0.017823
2018-09-30,0.025307
2018-10-31,0.025906
2018-11-30,-0.007646
2018-12-31,-0.033904
2019-01-31,0.006026
2019-02-28,0.017424
2019-03-31,0.008271
2019-04-30,0.004974
2019-05-31,0.011167
2019-06-30,-0.007978
2019-07-31,0.017556
2019-08-31,0.006546
2019-09-30,-0.000274
2019-10-31,0.009962
2019-11-30,-0.003009
2019-12-31,-0.001534
2020-01-31,0.006666
2020-02-29,-0.00013
2020-03-31,0.006094
2020-04-30,0.012517
2020-05-31,-0.000143
2020-06-30,0.000876
2020-07-31,0.003798
2020-08-31,-0.001535
2020-09-30,0.002895
2020-10-31,0.018008
2020-11-30,0.008213
2020-12-31,-0.004066
2021-01-31,-0.004255
2021-02-28,0.001509
2021-03-31,0.006191
2021-04-30,0.009009
2021-05-31,0.007143
2021-06-30,0.001773
2021-07-31,0.00885
2021-08-31,0.0
2021-09-30,0.011404
2021-10-31,0.015611
2021-11-30,0.000854
2021-12-31,-0.000853
2022-01-31,0.00854
2022-02-28,0.016088
2022-03-31,0.0225
2022-04-30,0.0326
2022-05-31,0.01026
2022-06-30,-0.001562
2022-07-31,0.013302
2022-08-31,0.008494
2022-09-30,0.01608
2022-10-31,0.025622
2022-11-30,0.022777
2022-12-31,0.020833
2023-01-31,0.046446
2023-02-28,0.065232
2023-03-31,0.027146
2023-04-30,0.016595
2023-05-31,0.027207
2023-06-30,0.021189
2023-07-31,0.018444
2023-08-31,0.015846
2023-09-30,0.019499
2023-10-31,0.010383
2023-11-30,0.01298
2023-12-31,0.013881
2024-01-31,0.016324
2024-02-29,0.113472
2024-03-31,0.009772
2024-04-30,0.010599
2024-05-31,-0.00684
2024-06-30,0.015611
2024-07-31,0.004069
2024-08-31,0.020261
2024-09-30,0.021183
2024-10-31,0.010804
2024-11-30,0.00513
2024-12-31,0.002127
2025-01-31,0.01528
2025-02-28,0.013796
2025-03-31,0.016495
2025-04-30,0.013387
2025-05-31,0.018815
2025-06-30,-0.001572
2025-07-31,-0.006
2025-08-31,0.002
2025-09-30,0.014
2025-10-31,0.018
2025-11-30,0.003
2025-12-31,0.002
2026-01-31,0.012
2026-02-28,0.028
2026-03-31,0.032
